Product_Depth_Segment,Retention_Strength_Tier,Customer_Count,Churned_Customers,Retained_Customers,Avg_Retention_Strength_Score,Avg_Relationship_Strength,Avg_Num_Products,Avg_Balance,Churn_Rate,Retention_Rate
High Product Load,Critical Retention Risk,99,99,0,25.06,30.71,3.19,68338.83,100.0,0.0
High Product Load,Weak Retention,101,88,13,43.78,45.35,3.16,90487.27,87.13,12.87
High Product Load,Moderate Retention,86,73,13,64.38,63.14,3.21,73731.85,84.88,15.12
High Product Load,Strong Retention,35,20,15,79.54,70.29,3.2,81769.95,57.14,42.86
High Product Load,Very Strong Retention,5,0,5,98.0,70.0,3.0,117651.63,0.0,100.0
Optimal Product Depth,Critical Retention Risk,197,127,70,28.13,48.81,2.0,47447.01,64.47,35.53
Optimal Product Depth,Weak Retention,1226,108,1118,47.37,52.93,2.0,29968.91,8.81,91.19
Optimal Product Depth,Moderate Retention,1190,89,1101,64.9,69.6,2.0,68562.09,7.48,92.52
Optimal Product Depth,Strong Retention,1208,24,1184,82.75,84.01,2.0,33964.02,1.99,98.01
Optimal Product Depth,Very Strong Retention,769,0,769,95.48,95.4,2.0,90271.66,0.0,100.0
Single Product,Critical Retention Risk,1480,999,481,19.69,40.28,1.0,80887.31,67.5,32.5
Single Product,Weak Retention,1530,286,1244,44.95,53.21,1.0,104916.01,18.69,81.31
Single Product,Moderate Retention,1364,124,1240,66.3,71.82,1.0,94246.01,9.09,90.91
Single Product,Strong Retention,710,0,710,81.67,80.87,1.0,129931.61,0.0,100.0
