Output Name,File Name,Export Status
Overall Retention Trend Summary,step_10g_overall_retention_trend_summary.csv,Exported
Retention Tier Trend,step_10h_retention_tier_trend.csv,Exported
Engagement Product Key Trends,step_10i_engagement_product_key_trends.csv,Exported
Customer Risk Trend,step_10j_customer_risk_trend.csv,Exported
Relationship Strength Trend,step_10j_relationship_strength_trend.csv,Exported
Financial Commitment Key Trends,step_10k_financial_commitment_key_trends.csv,Exported
Consolidated Key Insights,step_10l_consolidated_key_insights.csv,Exported
Strategic Recommendations,step_10m_strategic_recommendations.csv,Exported
Customer Segment Action Plan,step_10n_customer_segment_action_plan.csv,Exported
Dashboard Storyline Plan,step_10o_dashboard_storyline_plan.csv,Exported
Final Executive Summary,step_10p_final_executive_summary.csv,Exported
Notebook 10 Output Mapping,step_10q_output_mapping.csv,Exported
